wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
212.5,0.03019061401864171,3.9247795939445496E-4,1.0
212.6,0.02981234954720378,3.875605179928243E-4,1.0
212.7,0.02963889257839322,3.853056114166975E-4,1.0
212.8,0.029630110832304955,3.851914079859853E-4,1.0
212.9,0.029732244837151766,3.865191829390824E-4,1.0
213.0,0.02989876832270265,3.8868398405611515E-4,1.0
213.1,0.030105114379252194,3.913664841093123E-4,1.0
213.2,0.03035322118511796,3.945918579120189E-4,1.0
213.3,0.030666566673527955,3.9866534643806517E-4,1.0
213.4,0.031080088007247448,4.040411440655589E-4,1.0
213.5,0.031627833184762005,4.1116183274425566E-4,1.0
213.6,0.03233153178256989,4.203098942525685E-4,1.0
213.7,0.0331924526081264,4.315018595661968E-4,1.0
213.8,0.034186318479412794,4.444221267476678E-4,1.0
213.9,0.035262467013705966,4.584120470099151E-4,1.0
214.0,0.036348666101542706,4.7253264347091317E-4,1.0
214.1,0.03736149415038943,4.856994200963527E-4,1.0
214.2,0.038220536741287704,4.968669381923974E-4,1.0
214.3,0.03886428168918014,5.052356282249093E-4,1.0
214.4,0.03926194792501331,5.10405283421278E-4,1.0
214.5,0.03941808117628455,5.124350427649915E-4,1.0
214.6,0.03936740880295157,5.117763066664338E-4,1.0
214.7,0.039162281600807904,5.091096390970051E-4,1.0
214.8,0.03885605941724539,5.051287589594722E-4,1.0
214.9,0.03848910431619644,5.00358350109309E-4,1.0
215.0,0.03808112777096272,4.950546426698565E-4,1.0
215.1,0.03763168020409942,4.892118740826845E-4,1.0
215.2,0.03712922246119023,4.826798685826361E-4,1.0
215.3,0.036564123594306705,4.7533356701023877E-4,1.0
215.4,0.03594094931216598,4.6723231207579374E-4,1.0
215.5,0.035285315538511275,4.5870908070355654E-4,1.0
215.6,0.03464159057183862,4.503406526055187E-4,1.0
215.7,0.034061455837079285,4.427989188116044E-4,1.0
215.8,0.033587081698554754,4.3663204996846616E-4,1.0
215.9,0.03323489271891474,4.320535808801651E-4,1.0
216.0,0.032988034739284515,4.2884444701485336E-4,1.0
216.1,0.03280136019359708,4.264176532160491E-4,1.0
216.2,0.03261741308440805,4.2402633698657155E-4,1.0
216.3,0.032387938765976426,4.2104319436475635E-4,1.0
